"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
Virgen de la Candelaria (Patronal),Agosto,1-2,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
Virgen de la Natividad (Patronal),Noviembre,13-15,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
Virgen del Rosario (Patronal),Noviembre,25,Ancash,Yungay,-,-9.13888889,-77.74444444,,,
Apurayrni (Tradicional),Abril/mayo,*,Apurunac,Abancay,-,-13.633333333333,-72.88333333,,,
Bajada de Reyes (Tradicional),Enero,6,Apurimac,Abancay,-,-13.633333333333,-72.88333333,,,
Virgen Santa Isabel de Caype (patronal),Junio,4,Apurimac,Abancay,-,-13.633333333333,-72.88333333,,,
Sondor Raymi (Tradicional),Junio,23,Apurimac,Andahuaylas,-,-13.6575,-73.38333333,,,
Tincuy (Tradicionru),Junio,25,Apurimac,Andahuaylas,-,-13.6575,-73.38333333,,,
Afio Nuevo (Tradicional),Enero,1,Apurimac,Andahuylas,-,-13.6575,-73.38333333,,,
Bajada de Reyes (Tradicional),Enero,6,Apurimac,Andahuylas,-,-13.6575,-73.38333333,,,
Niño Jesus (Patronal),Diciembre,25,Apurimac,Andahuylas,-,-13.6575,-73.38333333,,,
Todos los Santos (Tradicional),Noviembre,1,Apurimac,Andahuylas,-,-13.6575,-73.38333333,,,
Corrida de Toros (Tradicional),Octubre,7,Apurimac,Antabamba,Antabamba,-14.3653,-72.8772,,,
San Sruvador Mayura (Patronal),Agosto,1,Apurimac,Antahamba,-,-14.3653,-72.8772,,,
San Santiago (Patronal),Junio,29,Apurimac,Antabamba,-,-14.3653,-72.8772,,,
Todos los Santos (Tradicional),Noviembre,1,Apurimac,Antabamba,-,-14.3653,-72.8772,,,
San Pedro y San Pablo (Patronal),Junio,29,Apurimac,Aymaraes,-,-14.301,-73.231,,,
Sefior de Animas (Patronal),Agosto,1,Apurimac,Aymaraes,-,-14.301,-73.231,,,
Virgen de la Inmaculada Concepcion (Patronal),Octubre,8,Apurimac,Aymaraes,-,-14.301,-73.231,,,
Corrida de Toros (Tradicional),Julio,28,Apurimac,Cotabambas,Cotabambas,-13.75111111,-72.35305556,,,
Todos los Santos (Tradicional),Noviembre,1,Apurimac,Cotabambas,-,-13.75111111,-72.35305556,,,
Virgen del Carmen (Parronal),Julio,16,Apurimac,Cotabambas,-,-13.75111111,-72.35305556,,,
Todos los Santos (Tradicional),Noviembre,1,Apurimac,Chincheras,-,-13.52277778,-73.72833333,,,
Virgen del Cannen (Patronal),Junio,26,Apurimac,Chincheras,-,-13.52277778,-73.72833333,,,
Corrida de Toros (Tradicional),Julio,27-29,Apurimac,Grau,Grau,-14.11388889,-72.715,,,
Todos los Santos (Tradicional),Noviembre,1,Apurimac,Grau,-,-14.11388889,-72.715,,,
Virgen de la Asuncion (Patronal),Agosto,25,Apurimac,Grau,-,-14.11388889,-72.715,,,
Corpus Cluisti (Tr3dicional),Mayo,11,Arequipa,Arequipa,-,-16.39882222,-71.53688333,,,
Las Cruces (Tradicional),Mayo,1,Arequipa,Arequipa,-,-16.39882222,-71.53688333,,,
Semana Santa (Tradicional),Marzo/Abril,*,Arequipa,Arequipa,-,-16.39882222,-71.53688333,,,
Todos los Santos (Tradicional),Noviembre,1,Arequipa,Arequipa,-,-16.39882222,-71.53688333,,,
Virgen de Chapi (patrorud),Mayo,1,Arequipa,Arequipa,-,-16.39882222,-71.53688333,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Arequipa,Arequipa,-,-16.39882222,-71.53688333,,,
Yacu Raymi (Tradicional),Agosto,20-26,Ayacucho,Ayacucho,Chiara (Andamarca),-13.2731,-74.2058,,,
Vilcas Raymi 11 (Tradicional),Julio,27-28,Ayacucho,Cangallo,-,-13.6292,-74.1439,,,
Bajada de Reyes (Tradicional),Enero,2-8,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.22444444,,,
COI]luS Christi (Tradicional),Junio,15,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.30498889,,,
Navidad (Tradicional),Diciembre,24-25,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.38553333,,,
Niño Naccac (Patronal),Noviembre,1-4,Ayacucho,Huamanga,Huamanga,-13.16305556,-74.46607778,,,
